,Region,,Rower,Auto,Transport Miejski,Najkorzystniej
1,Kłopot,Czas,41,36.0740740740741,51.3703703703704,Samochód
,,Dystans,11.4,12.9185185185185,13.3777777777778
2,Słomińskiego 6A,Czas,43,38.7407407407407,41.1851851851852,Samochód
,,Dystans,11.7,13.6185185185185,12.4703703703704
3,Dzika 6,Czas,38,35.7407407407407,47.7407407407407,Samochód
,,Dystans,10.5,11.0925925925926,9.68148148148148
4,Inflancka 3,Czas,39,36.4074074074074,44.6296296296296,Samochód
,,Dystans,10.8,11.6592592592593,12.1481481481481
5,Karmelicka 21,Czas,37,34.2592592592593,44.6666666666667,Samochód
,,Dystans,10,10.6111111111111,9.14444444444444
6,Dubois 6,Czas,39,36,51.7407407407407,Samochód
,,Dystans,10.5,11.0592592592593,10.5148148148148
7,Karmelicka 14,Czas,35,34.3333333333333,44.9259259259259,Samochód
,,Dystans,9.8,10.6777777777778,9.19629629629629
8,Nowolipie 14,Czas,33,32.4444444444444,39.8148148148148,Samochód
,,Dystans,9.1,9.90740740740741,8.35185185185186
9,Nowolipie 2A,Czas,34,34.1111111111111,40.8888888888889,Rower
,,Dystans,9.4,10.5074074074074,11.0703703703704
10,Szymanowska,Czas,39,37.6666666666667,47.1111111111111,Samochód
,,Dystans,10.8,15.3222222222222,13.7296296296296
11,Wałowa 7,Czas,36,35.7777777777778,50.8148148148148,Samochód
,,Dystans,10,11.9777777777778,12.3703703703704
12,Franciszkańska 7NA5,Czas,37,36.7777777777778,54.5185185185185,Samochód
,,Dystans,10.3518518518519,13.1111111111111,11.9703703703704
13,Wójtowska 5/7,Czas,36,36.6296296296296,53.9259259259259,Rower
,,Dystans,10.6,14.2185185185185,13.8518518518519
14,Kotowski Palace,Czas,36,39.5555555555556,55.5925925925926,Rower
,,Dystans,10.3,14.6518518518519,11.9259259259259
15,Bugaj 3,Czas,33,35.8888888888889,51,Rower
,,Dystans,9.7,13.9074074074074,10.8111111111111
16,Miodowa 22/24,Czas,36.2592592592593,42.4444444444444,49.962962962963,Rower
,,Dystans,10.2518518518518,11.2333333333333,13.0888888888889
17,Schillera 21,Czas,34.2592592592593,38.4074074074074,43,Rower
,,Dystans,9.67777777777777,10.9444444444444,11.1703703703704
18,Długa 48,Czas,34,35.7407407407407,39.962962962963,Rower
,,Dystans,9.7,10.562962962963,11.0481481481481
19,Elektoralna 12A,Czas,32,30.9259259259259,39.5555555555556,Samochód
,,Dystans,8.8,9.47037037037037,8.07407407407407
20, 87A,Czas,33,32.2222222222222,43.4444444444444,Samochód
