,Region,,Rower,Auto,Transport Miejski,Najkorzystniej
1,Kłopot,Czas,15,9.33333333333333,22,Samochód
,,Dystans,3.6,3.4,3.7
2,Słomińskiego 6A,Czas,17,10.3333333333333,17,Samochód
,,Dystans,3.9,3.7,3.9
3,Dzika 6,Czas,12,7.66666666666667,15,Samochód
,,Dystans,2.7,2.7,2.9
4,Inflancka 3,Czas,13,8.33333333333333,20,Samochód
,,Dystans,3,3,4.1
5,Karmelicka 21,Czas,11,6.33333333333333,14,Samochód
,,Dystans,2.2,2.2,2.4
6,Dubois 6,Czas,13,8.66666666666667,20,Samochód
,,Dystans,2.7,2.5,3.16666666666667
7,Karmelicka 14,Czas,9,6.33333333333333,13,Samochód
,,Dystans,2,2.1,2.4
8,Nowolipie 14,Czas,7,5.33333333333333,9,Samochód
,,Dystans,1.3,1.4,1.6
9,Nowolipie 2A,Czas,10,6.66666666666667,16.3333333333333,Samochód
,,Dystans,2.1,2.03333333333333,2.3
10,Szymanowska,Czas,15,11,22,Samochód
,,Dystans,3.5,4.03333333333333,4.26666666666667
11,Wałowa 7,Czas,11,8.33333333333333,18.3333333333333,Samochód
,,Dystans,2.6,2.5,3.46666666666667
12,Franciszkańska 7NA5,Czas,12,9.33333333333333,21,Samochód
,,Dystans,2.9,3,3.83333333333333
13,Wójtowska 5/7,Czas,14,11,21.6666666666667,Samochód
,,Dystans,3.4,3.83333333333333,4.23333333333333
14,Kotowski Palace,Czas,14,14.3333333333333,22.3333333333333,Rower
,,Dystans,3.6,4.13333333333333,4.13333333333333
15,Bugaj 3,Czas,11,13,18.6666666666667,Rower
,,Dystans,3,3.9,3.16666666666667
16,Miodowa 22/24,Czas,13,20.3333333333333,19.6666666666667,Rower
,,Dystans,3.1,2.8,3.56666666666667
17,Długa 28,Czas,10,14,17.3333333333333,Rower
,,Dystans,2.3,2.2,2.6
18,Długa 48,Czas,10,10,15,Rower
,,Dystans,2.3,2.13333333333333,2.76666666666667
19,Elektoralna 12A,Czas,6,4,8.33333333333333,Samochód
,,Dystans,1,1,1.26666666666667
20, 87A,Czas,7,5,13,Samochód
,,Dystans,1.3,1.3,1.66666666666667
21,Przechodnia 2,Czas,5,5,12.3333333333333,Rower
,,Dystans,1.1,1.53333333333333,1.63333333333333
22,Senatorska 32,Czas,8,7.66666666666667,21,Samochód
,,Dystans,1.9,2.13333333333333,1.6
23,Daniłowiczowska 9,Czas,9,8.66666666666667,15,Samochód
,,Dystans,2.2,2.36666666666667,2.63333333333333
24,Pałac Prymasowski w Warszawie,Czas,10,10.3333333333333,15.3333333333333,Rower
,,Dystans,2.4,2.73333333333333,2.73333333333333
25,plac Marszałka Józefa Piłsudskiego 1,Czas,8,7.66666666666667,11,Samochód
,,Dystans,2.2,1.9,2.26666666666667
26,Jana Moliera 2,Czas,9,9.33333333333333,14,Rower
,,Dystans,2.3,2.73333333333333,2.56666666666667
