,Region,,Rower,Auto,Transport Miejski,Najkorzystniej
1,Kłopot,Czas,15,10.7777777777778,23,Samochód
,,Dystans,3.6,3.4,3.7
2,Słomińskiego 6A,Czas,17,12.6296296296296,16.2222222222222,Samochód
,,Dystans,3.9,3.70740740740741,3.9
3,Dzika 6,Czas,12,9.81481481481481,16,Samochód
,,Dystans,2.7,2.7,2.9
4,Inflancka 3,Czas,13,10.4074074074074,19,Samochód
,,Dystans,3,3,4.1
5,Karmelicka 21,Czas,11,8.11111111111111,14,Samochód
,,Dystans,2.2,2.2,2.4
6,Dubois 6,Czas,13,10.1111111111111,20.8518518518519,Samochód
,,Dystans,2.7,2.54814814814815,3.07407407407407
7,Karmelicka 14,Czas,9,8.25925925925926,13,Samochód
,,Dystans,2,2.1,2.4
8,Nowolipie 14,Czas,7,6.40740740740741,9,Samochód
,,Dystans,1.3,1.4,1.6
9,Nowolipie 2A,Czas,10,7.92592592592593,14.8888888888889,Samochód
,,Dystans,2.1,2.00740740740741,2.36666666666667
10,Szymanowska,Czas,15,13.1481481481481,23.0740740740741,Samochód
,,Dystans,3.5,4.12962962962963,3.98888888888889
11,Wałowa 7,Czas,11,10.3703703703704,20.0740740740741,Samochód
,,Dystans,2.6,2.53333333333333,3.43703703703704
12,Franciszkańska 7NA5,Czas,12,11.4074074074074,21.6666666666667,Samochód
,,Dystans,2.9,3.03703703703704,4.04074074074074
13,Wójtowska 5/7,Czas,14,12.6666666666667,21.8148148148148,Samochód
,,Dystans,3.4,4.02592592592593,4.36296296296296
14,Kotowski Palace,Czas,14,15.7037037037037,25.7407407407407,Rower
,,Dystans,3.6,4.32592592592593,4.50740740740741
15,Bugaj 3,Czas,11,13.4814814814815,18,Rower
,,Dystans,3,3.9,3.3
16,Miodowa 22/24,Czas,13,17.1111111111111,22.2222222222222,Rower
,,Dystans,3.17777777777778,2.85555555555555,3.62222222222222
17,Schillera 21,Czas,10,12.2962962962963,16.2592592592593,Rower
,,Dystans,2.3,2.31481481481482,2.75925925925926
18,Długa 48,Czas,10,9.77777777777778,14.1111111111111,Samochód
,,Dystans,2.3,2.01481481481481,2.32222222222222
19,Elektoralna 12A,Czas,6,4.81481481481481,8,Samochód
,,Dystans,1,1,1.3
20, 87A,Czas,7,6.25925925925926,13,Samochód
,,Dystans,1.3,1.3,1.7
21,Przechodnia 2,Czas,5,5.77777777777778,13,Rower
,,Dystans,1.1,1.57037037037037,1.75185185185185
22,Senatorska 32,Czas,8,9.59259259259259,21,Rower
,,Dystans,1.9,2.13703703703704,1.6
23,Daniłowiczowska 9,Czas,9,9.96296296296296,14.5925925925926,Rower
,,Dystans,2.2,2.36666666666667,2.31111111111111
24,Pałac Prymasowski w Warszawie,Czas,10,11.3333333333333,16.8148148148148,Rower
,,Dystans,2.4,2.7,3.07037037037037
25,plac Marszałka Józefa Piłsudskiego 1,Czas,8,8.25925925925926,12.5185185185185,Rower
,,Dystans,2.2,1.9,2.24814814814815
26,Jana Moliera 2,Czas,9,11.6296296296296,15.4074074074074,Rower
,,Dystans,2.3,2.61481481481482,2.55925925925926
27,Aleksandra Fredry 2,Czas,7,9.44444444444444,12.3703703703704,Rower
,,Dystans,1.6,2.21111111111111,1.65555555555556
28,Canaletta 4,Czas,8,9.62962962962963,15.6666666666667,Rower
,,Dystans,2,2.42222222222222,2.27777777777778
29,Grzybowska 22,Czas,4,5.25925925925926,9,Rower
,,Dystans,0.7,0.7,0.977777777777777
30,Graniczna 2,Czas,5,5.55555555555556,9.85185185185185,Rower
,,Dystans,1,1.07037037037037,0.955555555555556
31,Spektrum,Czas,4,5.11111111111111,5,Rower
,,Dystans,1,1,0.4
32,Bagno 2,Czas,5,8.11111111111111,6,Rower
,,Dystans,1.3,1.5,1.1
33,Plac Jana Henryka Dąbrowskiego 6,Czas,6,5.40740740740741,7,Samochód
,,Dystans,1.2,1.2,1.2
34,Tadeusza Czackiego 21/23,Czas,7,7.55555555555556,10,Rower
,,Dystans,1.7,1.71111111111111,2
35,Warecka 8,Czas,7,7.81481481481481,7,Rower
,,Dystans,1.5,1.5,1.8
36,Chmielna 9A,Czas,7,9.07407407407407,11,Rower
,,Dystans,1.7,1.7,2.1
37,Dobra 87,Czas,13,12,18,Samochód
,,Dystans,3.1,3.0037037037037,3.2
38,Dobra 68/70,Czas,12,13.2962962962963,18,Rower
,,Dystans,2.7,2.98888888888889,3.58148148148148
39,Dobra 37-43,Czas,12,11.2592592592593,13,Samochód
,,Dystans,2.6,2.5,3.1
40,Szczygla 2942,Czas,8,10.037037037037,10,Rower
,,Dystans,2,2,2
41,Smolna 13,Czas,9,10.2962962962963,14.037037037037,Rower
,,Dystans,2.3,2.6,2.3
42,Zbigniewa Herberta 12B,Czas,11,12.1851851851852,15,Rower
,,Dystans,2.3,2.3,3.3
43,Wybrzeże Kościuszkowskie 35,Czas,13,13.2962962962963,10,Transport Publiczny
,,Dystans,2.9,2.9,2.9
44,Aleja 3 Maja 4,Czas,13,13.7777777777778,15,Rower
,,Dystans,3,3,3.4
45,Nowogrodzka 53,Czas,8,7.11111111111111,14.5185185185185,Samochód
,,Dystans,1.8,1,1.81111111111111
46,Hoża 69,Czas,10,9.96296296296296,12,Samochód
,,Dystans,2.6,1.90740740740741,1.8
47,Nowogrodzka 49,Czas,7,10.5185185185185,13.2592592592593,Rower
,,Dystans,2,2,1.5
48,Żurawia 43,Czas,8,9.03703703703704,14.2222222222222,Rower
,,Dystans,1.8,1.80740740740741,1.8
49,Wilcza 58A,Czas,11,9.44444444444444,14,Samochód
,,Dystans,2.3,1.70740740740741,2
50,Wilcza 42,Czas,9,10.6296296296296,15.7407407407407,Rower
,,Dystans,2.4,1.91851851851852,2.2
51,Wilcza 26-28,Czas,8,11.3333333333333,16.9259259259259,Rower
,,Dystans,2.3,2.21111111111111,2.28148148148148
52,Mokotowska 59-61,Czas,10,12.9259259259259,20,Rower
,,Dystans,2.8,2.71851851851852,2.88518518518518
53,Witolda Wierzbickiego 722,Czas,12,8.22222222222222,13,Samochód
,,Dystans,2.6,1.7,1.9
54,Filtrowa 3,Czas,10,9.14814814814815,12.5555555555556,Samochód
,,Dystans,2.4,1.9,2.1
55,Nowowiejska 15/19,Czas,12,10.7407407407407,16.2592592592593,Samochód
,,Dystans,2.8,2.3,2.5
56,Lwowska 12,Czas,10,10.2222222222222,16,Rower
,,Dystans,2.6,1.90740740740741,2.42222222222222
57,Nowowiejska 5-7,Czas,12,10.8148148148148,14,Samochód
,,Dystans,2.7,2.3,2.7
58,Mokotowska 6A,Czas,11,13.7037037037037,17,Rower
,,Dystans,2.9,2.8,2.9
59,plac Konstytucji 4,Czas,9,12.3703703703704,17.037037037037,Rower
,,Dystans,2.5,2.42222222222222,2.77407407407407
60,aleja Róż 6,Czas,11,14,21.037037037037,Rower
,,Dystans,3,2.94074074074074,3.35185185185185
61,aleja Wyzwolenia 7-9,Czas,11,13.5185185185185,17,Rower
,,Dystans,2.9,2.82592592592593,3
62,aleja Niepodległości 206,Czas,14,10.8518518518519,15.5555555555556,Samochód
,,Dystans,3.6,2.3,2.70740740740741
63,Waryńskiego 3,Czas,14,15.7407407407407,19.7407407407407,Rower
,,Dystans,3.6,3.6,3.22592592592592
64,aleja Niepodległości 188,Czas,15,11.5185185185185,15,Samochód
,,Dystans,3.2,2.6,2.9
65,Polna 7,Czas,13,16.1111111111111,20,Rower
,,Dystans,3.4,3.72222222222222,3.6
66,Litewska 8,Czas,12,14.4814814814815,20,Rower
,,Dystans,3.3,3.11111111111111,3.2
67,aleja Jana Chrystiana Szucha 12A,Czas,17,15.8518518518519,22,Samochód
,,Dystans,4.3,3.37777777777778,3.8
68,Klonowa 1,Czas,17,15.2592592592593,22,Samochód
,,Dystans,4.4,3.91481481481482,3.8
69,Parkowa 23,Czas,20,19.3703703703704,28.1851851851852,Samochód
,,Dystans,4.6,5.12962962962963,4.31851851851852
70,Łazienkowska 6-8,Czas,18,15.8518518518519,22,Samochód
,,Dystans,4.4,4.72592592592593,4
71,Kawalerii 3,Czas,21,18.2592592592593,27.7407407407407,Samochód
,,Dystans,5.3,4.92962962962963,4.88888888888889
72,Zaruskiego 6,Czas,20,21.8148148148148,29.6666666666667,Rower
,,Dystans,4.9,6.45925925925926,5.23333333333333
73,29 Listopada 3D,Czas,22,19.7777777777778,30.4074074074074,Samochód
,,Dystans,5.7,5.5037037037037,6.67407407407407
74,Bednarska 14,Czas,11,13,16.1851851851852,Rower
,,Dystans,2.6,3.08518518518519,2.94074074074074
75,Juliana Bartoszewicza 9,Czas,7,8.37037037037037,8,Rower
,,Dystans,1.7,1.7,1.8
76,wiadukt Stanisława Markiewicza,Czas,8,12.0740740740741,11.4444444444444,Rower
